id,text,language,platform,label,user_location,timestamp,likes,shares,comments,engagement_rate,user_age,user_gender,device_type,post_type,sentiment_score,emotional_tone,has_media,account_type,activity_level,mood_keyword,follower_count,following_count,account_age_days,verified_status,content_reported,predicted_sentiment,confidence
223,I feel hopeless and alone...,English,Twitter,Depressive Episode,France,2024-03-17 11:7,3075,2200,248,5.6185,32,Female,Tablet,Link,0.3,Negative,False,Anonymous,Low,Energetic,182506,1933,228,False,True,anxiety crisis,29.874458874458874
224,我喘不过气来了，好害怕！,Arabic,Twitter,Anxiety Crisis,UAE,2024-03-20 22:41,3609,3011,1831,1.0544,21,Other,Tablet,Link,-0.66,Very Positive,False,Influencer,High,Excited,324308,3047,3642,True,False,depressive episode,26.529004329004337
225,I feel hopeless and alone...,English,Facebook,Depressive Episode,China,2024-03-11 8:39,3696,4018,2324,3.7316,19,Other,Tablet,Text,0.03,Positive,True,Business,Medium,Sad,105913,1871,2445,False,False,anxiety crisis,29.874458874458874
226,"Everything feels amazing, I can do anything!",Mandarin,Facebook,Manic Episode,UAE,2024-03-11 5:12,8801,4233,2853,2.4035,33,Other,Desktop,Video,-0.62,Negative,False,Influencer,Medium,Happy,153914,4806,3582,True,False,manic episode,76.45743145743145
227,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,Germany,2024-03-15 9:28,210,2767,2773,5.7443,56,Male,Desktop,Image,0.81,Neutral,False,Anonymous,Very High,Sad,157508,2561,1444,False,False,anxiety crisis,29.874458874458874
228,我有无限的精力，今天能做任何事！,Arabic,Facebook,Manic Episode,UK,2024-03-7 15:54,9824,395,503,3.2689,46,Female,Desktop,Image,-0.03,Neutral,False,Personal,High,Excited,704310,1857,60,False,False,depressive episode,26.529004329004337
229,أشعر وكأنني أستطيع غزو العالم!,Mandarin,Facebook,Manic Episode,India,2024-03-21 21:53,4907,3067,1357,1.3115,30,Male,Mobile,Video,-0.75,Negative,False,Influencer,High,Hopeless,552569,1699,1992,False,False,depressive episode,26.52900432900433
230,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Spanish,Facebook,Anxiety Crisis,France,2024-03-23 20:20,4117,3162,1267,8.495,63,Non-binary,Mobile,Text,0.87,Very Positive,False,Personal,Low,Sad,749277,3475,660,False,False,depressive episode,26.529004329004337
231,有时候我觉得自己消失了也没人会注意到。,Spanish,Twitter,Depressive Episode,France,2024-03-9 17:6,1742,777,1985,4.1095,39,Male,Tablet,Video,0.65,Neutral,False,Influencer,Very High,Happy,70027,1559,346,False,True,depressive episode,26.529004329004337
232,我喘不过气来了，好害怕！,Mandarin,Twitter,Anxiety Crisis,Spain,2024-03-28 16:20,1596,7,1585,0.3817,22,Other,Tablet,Video,-0.53,Very Positive,True,Personal,Very High,Anxious,24889,4226,2715,False,False,depressive episode,26.529004329004337
233,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,English,Twitter,Anxiety Crisis,Australia,2024-03-5 17:55,7309,2184,759,1.0358,57,Non-binary,Mobile,Image,-0.57,Very Positive,True,Influencer,Medium,Hopeless,931176,4778,1518,True,False,depressive episode,26.529004329004337
234,I have so much energy! Haven’t slept in days!,Spanish,Twitter,Manic Episode,Germany,2024-03-1 5:5,8870,4504,2620,2.4743,24,Other,Tablet,Image,0.43,Very Negative,True,Influencer,High,Calm,307912,3195,1964,False,False,depressive episode,26.52900432900433
235,I don’t see the point in continuing...,Spanish,Twitter,Suicidal Ideation,USA,2024-03-14 21:47,5151,4638,525,3.5117,33,Female,Tablet,Image,0.53,Negative,False,Anonymous,Low,Happy,980168,3335,1282,True,False,suicidal ideation,68.16443001443001
236,لا شيء يجلب لي السعادة بعد الآن.,Mandarin,Facebook,Depressive Episode,Australia,2024-03-20 20:48,5968,2941,2620,2.0799,68,Other,Tablet,Text,-0.74,Neutral,True,Personal,Medium,Sad,344555,221,1689,True,False,depressive episode,26.529004329004337
237,I don’t see the point in continuing...,Arabic,Facebook,Suicidal Ideation,Brazil,2024-03-15 7:13,7265,2297,1260,2.0369,16,Female,Tablet,Video,-0.3,Positive,False,Business,Low,Calm,459308,1196,858,True,False,suicidal ideation,68.16443001443
238,Ojalá pudiera desaparecer para siempre.,Spanish,Facebook,Suicidal Ideation,Canada,2024-03-5 9:38,5034,2137,1018,33.1538,34,Non-binary,Desktop,Video,0.36,Positive,False,Business,Very High,Anxious,125692,2026,3421,True,False,suicidal ideation,71.68470418470419
239,¡Mi ansiedad está fuera de control!,English,Twitter,Anxiety Crisis,India,2024-03-15 15:26,4150,2622,2953,1.1124,53,Non-binary,Mobile,Link,0.09,Very Positive,False,Personal,High,Energetic,318627,4547,442,True,False,anxiety crisis,34.701443001443
240,أشعر وكأنني أستطيع غزو العالم!,Spanish,Facebook,Manic Episode,UAE,2024-03-22 17:39,2953,4565,2674,1.4231,40,Other,Mobile,Video,-0.94,Very Positive,False,Personal,High,Hopeless,588766,1924,2277,False,False,depressive episode,26.529004329004337
241,Ojalá pudiera desaparecer para siempre.,Arabic,Facebook,Suicidal Ideation,Japan,2024-03-20 12:27,462,2132,1376,1.8005,14,Non-binary,Tablet,Link,0.86,Very Negative,True,Business,High,Calm,582814,2429,2833,True,False,suicidal ideation,71.68470418470419
242,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,UK,2024-03-11 1:34,2592,2183,1190,3.3474,46,Non-binary,Mobile,Text,0.38,Negative,False,Personal,Very High,Sad,995793,2440,3617,False,False,anxiety crisis,29.874458874458874
243,¡Mi ansiedad está fuera de control!,Arabic,Twitter,Anxiety Crisis,Canada,2024-03-7 9:3,5141,577,711,2.2944,32,Male,Mobile,Text,0.33,Negative,True,Influencer,Medium,Energetic,73042,2136,407,True,False,anxiety crisis,34.701443001443
244,我喘不过气来了，好害怕！,Arabic,Twitter,Anxiety Crisis,Mexico,2024-03-4 18:9,7992,156,520,1.6913,65,Non-binary,Tablet,Link,-0.07,Negative,True,Personal,Very High,Calm,256294,1241,846,False,False,depressive episode,26.529004329004337
245,"Everything feels amazing, I can do anything!",Mandarin,Twitter,Manic Episode,UAE,2024-03-18 4:13,6457,426,2002,1.0079,55,Female,Mobile,Text,-0.13,Neutral,False,Business,Very High,Hopeless,556499,150,2991,True,False,manic episode,76.45743145743145
246,我有无限的精力，今天能做任何事！,Arabic,Facebook,Manic Episode,China,2024-03-20 9:13,720,4568,1362,1.1883,45,Other,Mobile,Text,-0.92,Negative,True,Personal,Low,Excited,788894,1013,1717,True,False,depressive episode,26.529004329004337
247,Nothing seems to matter anymore.,Spanish,Twitter,Depressive Episode,China,2024-03-19 17:5,2975,179,2653,0.9146,20,Female,Desktop,Link,0.03,Very Negative,False,Personal,Very High,Excited,959468,4623,2971,False,False,depressive episode,73.04213564213565
248,"I feel like I’m losing control, I’m panicking!",Spanish,Facebook,Anxiety Crisis,Japan,2024-03-9 0:31,2883,3687,1091,1.337,60,Male,Desktop,Link,0.48,Positive,False,Anonymous,Low,Anxious,378286,3796,1853,False,False,anxiety crisis,69.41010101010102
249,"I feel like I’m losing control, I’m panicking!",Arabic,Facebook,Anxiety Crisis,UAE,2024-03-14 18:49,2939,2727,1793,3.2932,27,Male,Tablet,Video,-0.47,Negative,False,Anonymous,High,Anxious,353189,3978,1813,True,False,anxiety crisis,69.41010101010102
250,¡Mi ansiedad está fuera de control!,Arabic,Twitter,Anxiety Crisis,China,2024-03-2 14:32,7319,3555,370,5.2567,37,Other,Mobile,Text,0.26,Negative,True,Personal,Very High,Happy,804766,1319,2642,True,False,anxiety crisis,34.701443001443
251,有时候我想结束一切。,Arabic,Facebook,Suicidal Ideation,France,2024-03-8 23:25,4853,3146,2497,2.0169,35,Female,Desktop,Link,-0.95,Negative,False,Influencer,Low,Happy,997215,4137,643,True,False,depressive episode,26.529004329004337
252,أتمنى لو لم أكن موجودًا.,Mandarin,Facebook,Suicidal Ideation,Brazil,2024-03-23 23:45,4233,1706,96,0.6969,63,Other,Mobile,Video,0.48,Very Negative,True,Business,Medium,Sad,641023,2384,2773,True,False,depressive episode,26.529004329004337
253,I have so much energy! Haven’t slept in days!,English,Facebook,Manic Episode,Australia,2024-03-3 8:2,4817,2061,1140,0.8602,48,Other,Desktop,Text,0.59,Positive,True,Anonymous,High,Happy,366398,267,3352,False,False,depressive episode,26.529004329004337
254,"My heart is racing, I can’t breathe!",Mandarin,Facebook,Anxiety Crisis,Spain,2024-03-17 10:37,6244,963,2378,1.0222,26,Non-binary,Mobile,Image,-0.13,Very Positive,True,Personal,Very High,Calm,444042,2990,865,False,False,anxiety crisis,87.38607503607504
255,¡Mi ansiedad está fuera de control!,Mandarin,Facebook,Anxiety Crisis,Germany,2024-03-10 4:44,4982,1667,2992,7.7128,29,Other,Tablet,Video,0.31,Neutral,True,Anonymous,Very High,Sad,529397,4965,2651,False,False,anxiety crisis,34.701443001443
256,"¡Tengo una energía increíble, no puedo parar!",Arabic,Facebook,Manic Episode,Spain,2024-03-18 9:17,2611,501,2013,0.7741,63,Female,Mobile,Image,0.57,Neutral,True,Personal,Low,Anxious,250796,1517,156,False,True,manic episode,79.19314574314573
257,أشعر وكأنني أستطيع غزو العالم!,Spanish,Facebook,Manic Episode,Japan,2024-03-21 11:56,9881,3569,931,4.3592,59,Other,Tablet,Link,-0.6,Neutral,False,Anonymous,Very High,Anxious,757788,4211,957,True,False,depressive episode,26.529004329004337
258,أتمنى لو لم أكن موجودًا.,Arabic,Twitter,Suicidal Ideation,USA,2024-03-7 23:0,5454,469,823,8.4855,69,Female,Mobile,Video,-0.46,Positive,False,Personal,Low,Excited,779161,356,1238,False,False,depressive episode,26.529004329004337
259,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Spanish,Facebook,Anxiety Crisis,Mexico,2024-03-5 11:50,191,4492,1383,1.583,36,Other,Tablet,Text,0.97,Very Positive,False,Anonymous,Low,Energetic,15364,4168,1714,True,False,depressive episode,26.529004329004337
260,我喘不过气来了，好害怕！,English,Facebook,Anxiety Crisis,India,2024-03-21 20:0,3974,1689,823,1.1653,25,Other,Mobile,Image,0.04,Very Positive,False,Anonymous,Low,Sad,371259,3328,1009,True,False,depressive episode,26.529004329004337
261,"My heart is racing, I can’t breathe!",Arabic,Facebook,Anxiety Crisis,China,2024-03-10 10:58,7224,982,1632,3.6076,14,Other,Tablet,Video,0.5,Very Negative,True,Business,High,Happy,142986,3574,2579,False,True,anxiety crisis,87.38607503607504
262,有时候我觉得自己消失了也没人会注意到。,Spanish,Twitter,Depressive Episode,India,2024-03-20 20:24,201,4337,2481,1.104,15,Other,Tablet,Link,0.7,Negative,True,Business,Very High,Hopeless,154358,619,2057,True,False,depressive episode,26.52900432900433
263,Estoy perdiendo el interés en todo.,Spanish,Facebook,Depressive Episode,UAE,2024-03-16 8:7,7237,2112,2728,13.5544,22,Female,Mobile,Video,-0.08,Very Negative,True,Anonymous,Very High,Calm,423509,2929,2288,False,True,depressive episode,76.55981240981242
264,I feel hopeless and alone...,Mandarin,Twitter,Depressive Episode,UK,2024-03-17 20:2,175,1198,259,0.2881,67,Female,Tablet,Video,0.02,Neutral,True,Business,Very High,Anxious,670621,4535,62,False,True,anxiety crisis,29.874458874458874
265,Nothing seems to matter anymore.,Mandarin,Twitter,Depressive Episode,France,2024-03-23 22:51,6243,234,1380,1.0503,20,Non-binary,Tablet,Image,0.66,Very Negative,False,Anonymous,Very High,Energetic,328257,3336,200,False,False,depressive episode,73.04213564213565
266,我有无限的精力，今天能做任何事！,Mandarin,Twitter,Manic Episode,Germany,2024-03-7 15:46,4171,760,2251,1.3518,30,Other,Tablet,Image,-0.25,Negative,True,Personal,Medium,Calm,687478,899,1402,False,True,depressive episode,26.529004329004337
267,"I feel like I’m losing control, I’m panicking!",English,Facebook,Anxiety Crisis,Spain,2024-03-26 22:55,9877,609,1065,4.5819,13,Other,Mobile,Video,-0.55,Positive,False,Anonymous,Low,Calm,175607,113,268,True,False,anxiety crisis,69.41010101010102
268,¡Mi ansiedad está fuera de control!,Mandarin,Twitter,Anxiety Crisis,USA,2024-03-4 21:55,4454,2926,821,3.4691,42,Other,Tablet,Image,-0.76,Positive,True,Anonymous,High,Energetic,657445,2187,619,False,True,anxiety crisis,34.701443001443
269,I have so much energy! Haven’t slept in days!,Mandarin,Facebook,Manic Episode,India,2024-03-22 9:20,2340,667,2257,0.7024,15,Non-binary,Tablet,Link,-0.65,Very Positive,False,Anonymous,High,Hopeless,526641,3895,1557,False,False,depressive episode,26.529004329004337
270,Everything would be easier if I wasn’t here.,Arabic,Twitter,Suicidal Ideation,UAE,2024-03-6 18:7,6001,1021,1411,2.1847,40,Non-binary,Tablet,Text,0.44,Positive,False,Anonymous,High,Excited,487408,2717,2144,True,False,depressive episode,26.529004329004337
271,¡Mi ansiedad está fuera de control!,English,Twitter,Anxiety Crisis,Spain,2024-03-4 1:2,6851,4720,438,1.5296,17,Non-binary,Mobile,Link,-0.32,Negative,True,Anonymous,Low,Anxious,37768,4223,1709,True,False,anxiety crisis,34.701443001443
272,"My heart is racing, I can’t breathe!",Mandarin,Facebook,Anxiety Crisis,UAE,2024-03-15 22:18,5147,3390,2809,4.9309,17,Male,Desktop,Link,0.9,Very Positive,False,Business,Medium,Sad,745979,4314,1105,True,True,anxiety crisis,87.38607503607504
273,有时候我想结束一切。,Arabic,Facebook,Suicidal Ideation,Spain,2024-03-8 4:31,1583,1053,2152,0.6793,15,Other,Desktop,Link,0.57,Negative,True,Personal,Very High,Hopeless,103199,2342,1297,True,True,depressive episode,26.529004329004337
274,"Everything feels amazing, I can do anything!",Arabic,Facebook,Manic Episode,USA,2024-03-13 20:20,8097,4887,333,2.1155,32,Female,Desktop,Text,0.68,Negative,False,Anonymous,Low,Anxious,598210,4375,308,True,True,manic episode,76.45743145743145
275,¡Mi ansiedad está fuera de control!,Mandarin,Facebook,Anxiety Crisis,Australia,2024-03-22 14:50,5570,3709,2403,1.8552,19,Male,Desktop,Video,0.26,Very Positive,False,Business,High,Hopeless,726138,3494,557,False,False,anxiety crisis,34.701443001443
276,أتمنى لو لم أكن موجودًا.,English,Facebook,Suicidal Ideation,China,2024-03-22 6:8,456,722,21,0.2665,13,Male,Mobile,Link,-0.15,Negative,True,Influencer,Low,Anxious,281861,87,2416,True,False,depressive episode,26.529004329004337
277,لا شيء يجلب لي السعادة بعد الآن.,Spanish,Twitter,Depressive Episode,Brazil,2024-03-7 4:52,4353,265,2558,0.9857,56,Non-binary,Mobile,Link,-0.75,Positive,True,Anonymous,Very High,Anxious,749543,4039,851,True,False,depressive episode,26.529004329004337
278,"My heart is racing, I can’t breathe!",Spanish,Twitter,Anxiety Crisis,USA,2024-03-8 9:54,9738,2476,266,2.9971,62,Other,Mobile,Link,-0.37,Very Positive,True,Business,Very High,Hopeless,337015,4718,2118,True,False,anxiety crisis,87.38607503607504
279,我喘不过气来了，好害怕！,Mandarin,Facebook,Anxiety Crisis,Australia,2024-03-14 5:20,4786,2710,2956,1.1223,57,Male,Mobile,Text,0.07,Very Positive,True,Personal,Very High,Hopeless,442973,1702,2638,True,False,depressive episode,26.529004329004337
280,لا شيء يجلب لي السعادة بعد الآن.,Mandarin,Facebook,Depressive Episode,India,2024-03-5 12:15,4947,1075,1153,2.5978,28,Other,Tablet,Video,-0.45,Negative,True,Personal,Medium,Calm,720043,3560,1020,False,False,depressive episode,26.529004329004337
281,Ojalá pudiera desaparecer para siempre.,Arabic,Facebook,Suicidal Ideation,Australia,2024-03-21 0:57,195,708,1305,0.9448,29,Female,Mobile,Image,-0.51,Neutral,False,Anonymous,Low,Anxious,639145,514,2794,False,False,suicidal ideation,71.68470418470419
282,I don’t see the point in continuing...,English,Twitter,Suicidal Ideation,Canada,2024-03-22 21:14,6738,1246,1341,2.7266,60,Female,Tablet,Text,0.09,Very Negative,True,Personal,Low,Anxious,192286,351,136,False,True,suicidal ideation,68.16443001443001
283,أتمنى لو لم أكن موجودًا.,Spanish,Facebook,Suicidal Ideation,India,2024-03-8 22:10,5198,3337,2078,1.1493,36,Male,Tablet,Image,0.68,Neutral,False,Business,High,Energetic,681844,1279,545,True,False,depressive episode,26.529004329004337
284,I don’t see the point in continuing...,Arabic,Facebook,Suicidal Ideation,France,2024-03-4 1:46,4139,3527,2193,1.0892,49,Female,Desktop,Image,-0.54,Very Negative,True,Personal,Low,Happy,891297,1166,806,True,True,suicidal ideation,68.16443001443001
285,有时候我想结束一切。,Mandarin,Facebook,Suicidal Ideation,India,2024-03-13 16:8,1975,3644,1280,0.9377,66,Male,Tablet,Link,0.79,Very Positive,False,Personal,High,Hopeless,675148,2351,2286,True,False,depressive episode,26.52900432900433
286,Ojalá pudiera desaparecer para siempre.,Mandarin,Twitter,Suicidal Ideation,Brazil,2024-03-13 7:30,9126,2884,819,2.0938,48,Other,Tablet,Text,0.24,Positive,False,Influencer,Very High,Excited,675952,2242,933,False,False,suicidal ideation,71.68470418470419
287,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Mandarin,Facebook,Anxiety Crisis,China,2024-03-20 16:1,2110,4510,1522,4.0089,61,Non-binary,Desktop,Video,0.52,Positive,False,Personal,Low,Calm,459340,3943,839,True,False,depressive episode,26.529004329004337
288,I don’t see the point in continuing...,Arabic,Twitter,Suicidal Ideation,Australia,2024-03-23 10:25,9817,3827,846,47.0455,42,Female,Desktop,Link,-0.51,Positive,False,Personal,Very High,Sad,348138,1318,255,False,False,suicidal ideation,68.16443001443001
289,"My heart is racing, I can’t breathe!",English,Facebook,Anxiety Crisis,Japan,2024-03-22 21:53,8774,974,1812,3.7339,55,Non-binary,Desktop,Text,-0.52,Positive,True,Anonymous,Medium,Anxious,666028,1835,1572,True,True,anxiety crisis,87.38607503607504
290,有时候我觉得自己消失了也没人会注意到。,Mandarin,Facebook,Depressive Episode,Japan,2024-03-3 10:25,1539,2129,697,0.4898,46,Male,Tablet,Link,-0.03,Very Positive,True,Personal,Medium,Happy,437364,4799,3176,True,False,depressive episode,26.529004329004337
291,有时候我想结束一切。,English,Facebook,Suicidal Ideation,Canada,2024-03-12 23:42,1121,158,2321,0.9368,56,Male,Desktop,Image,0.26,Very Positive,False,Influencer,Medium,Calm,178367,3834,1156,False,False,depressive episode,26.529004329004337
292,¡Mi ansiedad está fuera de control!,English,Facebook,Anxiety Crisis,France,2024-03-21 3:58,615,1345,2101,0.6116,51,Non-binary,Tablet,Video,0.46,Very Positive,False,Personal,Very High,Hopeless,960435,1970,1211,False,True,anxiety crisis,34.701443001443
293,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Spanish,Facebook,Anxiety Crisis,Brazil,2024-03-22 0:12,4647,857,234,1.1474,49,Female,Tablet,Link,-0.08,Very Positive,False,Business,Low,Calm,133790,1709,2461,True,False,depressive episode,26.529004329004337
294,أتمنى لو لم أكن موجودًا.,English,Facebook,Suicidal Ideation,China,2024-03-7 21:53,1527,738,2576,1.0088,21,Other,Tablet,Link,0.87,Positive,False,Anonymous,High,Calm,381244,2515,1669,True,True,depressive episode,26.529004329004337
295,Everything would be easier if I wasn’t here.,Arabic,Facebook,Suicidal Ideation,Germany,2024-03-6 21:56,3118,391,1009,1.0546,45,Non-binary,Desktop,Text,0.36,Very Positive,True,Personal,Medium,Energetic,35560,2816,1003,True,False,depressive episode,26.529004329004337
296,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Twitter,Manic Episode,UAE,2024-03-12 0:51,7706,1474,115,1.3192,28,Other,Desktop,Text,-0.49,Positive,False,Influencer,Very High,Hopeless,41599,4042,575,True,False,manic episode,79.19314574314573
297,لا شيء يجلب لي السعادة بعد الآن.,Mandarin,Facebook,Depressive Episode,UAE,2024-03-11 12:5,4512,4812,1719,3.3033,35,Non-binary,Desktop,Video,-0.64,Very Negative,False,Anonymous,High,Calm,421782,159,1673,False,False,depressive episode,26.52900432900433
298,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Facebook,Manic Episode,Mexico,2024-03-22 9:3,191,3483,1485,0.8993,46,Male,Desktop,Text,-0.65,Neutral,True,Influencer,Very High,Happy,640328,1705,428,True,True,manic episode,79.19314574314573
299,有时候我觉得自己消失了也没人会注意到。,English,Twitter,Depressive Episode,Canada,2024-03-12 2:47,696,1595,303,2.2077,65,Non-binary,Desktop,Text,-0.92,Negative,True,Influencer,Low,Sad,223762,679,2638,True,False,depressive episode,26.529004329004337
300,"My heart is racing, I can’t breathe!",Mandarin,Facebook,Anxiety Crisis,Brazil,2024-03-25 15:19,740,2102,310,0.3906,14,Non-binary,Tablet,Text,0.5,Very Positive,False,Personal,Very High,Calm,564727,4389,1633,True,False,anxiety crisis,87.38607503607504
301,¡Mi ansiedad está fuera de control!,Spanish,Facebook,Anxiety Crisis,USA,2024-03-13 1:8,3994,3938,2539,2.1466,32,Female,Mobile,Image,-0.53,Very Positive,True,Personal,Low,Excited,214121,2797,1185,True,False,anxiety crisis,34.701443001443
302,¡Mi ansiedad está fuera de control!,Spanish,Twitter,Anxiety Crisis,France,2024-03-24 14:16,2935,4408,328,1.4709,57,Male,Tablet,Video,0.13,Positive,True,Influencer,High,Excited,272221,2400,508,True,False,anxiety crisis,34.701443001443
303,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,China,2024-03-13 5:58,9556,2881,2071,1.5475,28,Female,Tablet,Image,-0.25,Negative,True,Anonymous,Medium,Excited,181233,1607,3136,True,False,anxiety crisis,29.874458874458874
304,有时候我想结束一切。,Arabic,Facebook,Suicidal Ideation,Brazil,2024-03-15 21:59,2789,3313,2042,2.8555,41,Other,Mobile,Image,0.02,Positive,True,Influencer,Very High,Happy,785107,1456,2866,True,False,depressive episode,26.529004329004337
305,有时候我觉得自己消失了也没人会注意到。,Spanish,Facebook,Depressive Episode,China,2024-03-6 13:7,5756,1483,1503,1.3892,69,Male,Mobile,Image,-0.45,Neutral,True,Influencer,High,Happy,160353,4681,1778,False,False,depressive episode,26.529004329004337
306,I have so much energy! Haven’t slept in days!,Mandarin,Facebook,Manic Episode,India,2024-03-18 16:38,5405,2281,234,0.9035,47,Male,Mobile,Link,0.09,Very Negative,True,Influencer,High,Sad,708765,4044,1614,False,False,depressive episode,26.529004329004337
307,Estoy perdiendo el interés en todo.,Mandarin,Twitter,Depressive Episode,Australia,2024-03-12 10:16,1135,1702,289,1.613,63,Non-binary,Tablet,Link,0.87,Very Negative,False,Personal,High,Energetic,175008,4851,2846,True,True,depressive episode,76.55981240981242
308,"My heart is racing, I can’t breathe!",Mandarin,Facebook,Anxiety Crisis,India,2024-03-25 23:53,674,2856,1708,0.7158,20,Other,Tablet,Video,0.5,Neutral,True,Personal,High,Excited,920526,3106,1572,False,False,anxiety crisis,87.38607503607504
309,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,Australia,2024-03-2 17:11,9348,1512,2377,1.6348,65,Non-binary,Desktop,Image,-0.13,Very Negative,True,Personal,High,Calm,880570,2895,3341,False,False,anxiety crisis,29.874458874458874
310,"Everything feels amazing, I can do anything!",English,Twitter,Manic Episode,Germany,2024-03-4 9:54,8841,3459,2221,10.084,38,Female,Desktop,Text,-0.95,Positive,False,Business,Very High,Calm,758115,3093,3025,False,False,manic episode,76.45743145743145
311,我喘不过气来了，好害怕！,English,Twitter,Anxiety Crisis,India,2024-03-12 13:34,9928,3842,1904,3.6811,55,Female,Desktop,Image,-0.96,Very Positive,True,Personal,Very High,Anxious,45711,932,3038,True,True,depressive episode,26.529004329004337
312,我有无限的精力，今天能做任何事！,English,Twitter,Manic Episode,UAE,2024-03-17 8:13,6837,2901,2797,2.0469,31,Female,Tablet,Image,0.35,Neutral,False,Personal,Medium,Sad,753021,4254,1890,True,True,depressive episode,26.529004329004337
313,لا شيء يجلب لي السعادة بعد الآن.,Arabic,Facebook,Depressive Episode,USA,2024-03-9 22:1,4969,1223,1597,0.8261,19,Male,Mobile,Image,0.28,Very Negative,False,Personal,Very High,Energetic,388100,33,3523,True,False,depressive episode,26.529004329004337
314,أشعر وكأنني أستطيع غزو العالم!,Spanish,Facebook,Manic Episode,Germany,2024-03-18 2:15,6710,355,2823,1.7868,66,Male,Desktop,Image,0.68,Neutral,False,Personal,Medium,Happy,200284,4428,1284,False,False,depressive episode,26.529004329004337
315,Ojalá pudiera desaparecer para siempre.,English,Facebook,Suicidal Ideation,UAE,2024-03-6 3:3,3856,720,2282,23.979,22,Male,Tablet,Video,-0.44,Positive,False,Influencer,Low,Energetic,238880,3798,987,True,False,suicidal ideation,71.68470418470419
316,我有无限的精力，今天能做任何事！,Arabic,Facebook,Manic Episode,Mexico,2024-03-21 16:48,4169,13,1086,1.15,55,Other,Tablet,Link,0.62,Neutral,False,Anonymous,Very High,Energetic,752576,2979,2929,True,False,depressive episode,26.529004329004337
317,"Everything feels amazing, I can do anything!",Mandarin,Facebook,Manic Episode,Japan,2024-03-1 19:37,4161,1899,2982,1.2694,26,Other,Tablet,Image,0.85,Very Negative,False,Personal,Very High,Anxious,537653,1453,478,False,False,manic episode,76.45743145743145
318,لا شيء يجلب لي السعادة بعد الآن.,English,Twitter,Depressive Episode,France,2024-03-22 13:44,5039,1746,202,17.0,52,Other,Tablet,Link,0.74,Negative,True,Personal,Low,Sad,819595,4400,787,False,False,depressive episode,26.529004329004337
319,"My heart is racing, I can’t breathe!",Arabic,Twitter,Anxiety Crisis,France,2024-03-10 0:56,2464,1391,228,3.6037,27,Non-binary,Tablet,Link,0.73,Negative,True,Anonymous,High,Hopeless,484156,4972,1200,True,False,anxiety crisis,87.38607503607504
320,"Everything feels amazing, I can do anything!",Mandarin,Twitter,Manic Episode,Mexico,2024-03-28 16:24,9520,2006,8,1.3117,50,Male,Mobile,Link,-0.75,Positive,True,Business,Very High,Excited,12712,4491,3441,True,False,manic episode,76.45743145743145
321,"I feel like I’m losing control, I’m panicking!",Spanish,Twitter,Anxiety Crisis,Germany,2024-03-19 8:50,7460,4293,491,2.3028,24,Male,Mobile,Link,-0.75,Positive,True,Personal,Medium,Calm,894691,2103,312,False,False,anxiety crisis,69.41010101010102
322,我喘不过气来了，好害怕！,Arabic,Twitter,Anxiety Crisis,India,2024-03-11 7:50,8098,713,2115,1.1021,63,Female,Mobile,Video,-0.19,Very Positive,False,Business,Low,Energetic,899862,3399,3055,True,False,depressive episode,26.529004329004337
323,"I feel like I’m losing control, I’m panicking!",Mandarin,Facebook,Anxiety Crisis,China,2024-03-8 13:46,7607,1368,2853,1.8539,64,Male,Mobile,Text,-0.29,Positive,True,Personal,High,Anxious,145941,1615,1970,True,True,anxiety crisis,69.41010101010102
324,¡Mi ansiedad está fuera de control!,Spanish,Twitter,Anxiety Crisis,Australia,2024-03-13 1:49,6988,4035,6,2.1736,52,Other,Desktop,Video,-0.51,Negative,True,Personal,Low,Hopeless,833385,1159,2910,True,False,anxiety crisis,34.701443001443
325,我喘不过气来了，好害怕！,English,Facebook,Anxiety Crisis,Mexico,2024-03-10 6:39,1153,511,2453,0.4429,56,Other,Desktop,Image,0.21,Positive,True,Influencer,Very High,Sad,632144,4251,3439,True,False,depressive episode,26.529004329004337
326,أتمنى لو لم أكن موجودًا.,English,Facebook,Suicidal Ideation,UK,2024-03-18 6:54,7092,2073,975,1.9128,39,Female,Tablet,Image,0.19,Very Positive,True,Anonymous,Low,Calm,189778,1518,1125,False,False,depressive episode,26.529004329004337
327,أتمنى لو لم أكن موجودًا.,Arabic,Twitter,Suicidal Ideation,India,2024-03-22 0:15,5098,1723,1239,1.4583,37,Male,Mobile,Link,-0.1,Negative,True,Influencer,High,Hopeless,217237,2621,484,False,True,depressive episode,26.529004329004337
